"","Date","Forest","Tree","Species","DBHcm","Comments"
"100","25-Oct-17","Peavine Swamp",215,"Red maple","15.1",""
"101","25-Oct-17","Peavine Swamp",218,"Red maple","32","DEAD"
"102","25-Oct-17","Peavine Swamp",220,"Red maple","15.4",""
"103","25-Oct-17","Peavine Swamp",222,"Red maple","11.3",""
"104","25-Oct-17","Peavine Swamp",223,"Red maple","13.4",""
"105","25-Oct-17","Peavine Swamp",226,"Red maple","25.9",""
"106","18-Oct-17","Peavine Swamp",169,"Sugar maple","20.5",""
"107","18-Oct-17","Peavine Swamp",175,"Sugar maple","18",""
"108","18-Oct-17","Peavine Swamp",182,"Sugar maple","41.3",""
"109","18-Oct-17","Peavine Swamp",183,"Sugar maple","28.4",""
"110","18-Oct-17","Peavine Swamp",185,"Sugar maple","39.1",""
"111","18-Oct-17","Peavine Swamp",189,"Sugar maple","12",""
"112","18-Oct-17","Peavine Swamp",190,"Sugar maple","11.2",""
"113","18-Oct-17","Peavine Swamp",192,"Sugar maple","36.2",""
"114","18-Oct-17","Peavine Swamp",193,"Sugar maple","16.8",""
"115","18-Oct-17","Peavine Swamp",194,"Sugar maple","40.8",""
"116","18-Oct-17","Peavine Swamp",195,"Sugar maple","40.3",""
"117","18-Oct-17","Peavine Swamp",196,"Sugar maple","38",""
"118","18-Oct-17","Peavine Swamp",197,"Sugar maple","12.2",""
"119","18-Oct-17","Peavine Swamp",199,"Sugar maple","63.9","DEAD"
"120","18-Oct-17","Peavine Swamp",200,"Sugar maple","28.7",""
"121","25-Oct-17","Peavine Swamp",203,"Sugar maple","26.2",""
"122","25-Oct-17","Peavine Swamp",204,"Sugar maple","42.5",""
"123","25-Oct-17","Peavine Swamp",205,"Sugar maple","11.9",""
"124","25-Oct-17","Peavine Swamp",207,"Sugar maple","35",""
"125","25-Oct-17","Peavine Swamp",209,"Sugar maple","20.1",""
"126","25-Oct-17","Peavine Swamp",210,"Sugar maple","10.5",""
"127","25-Oct-17","Peavine Swamp",211,"Sugar maple","21.9",""
"128","25-Oct-17","Peavine Swamp",213,"Sugar maple","16.6",""
"129","25-Oct-17","Peavine Swamp",216,"Sugar maple","75.3",""
"130","25-Oct-17","Peavine Swamp",224,"Sugar maple","27",""
"131","25-Oct-17","Peavine Swamp",225,"Sugar maple","14",""
"132","25-Oct-17","Peavine Swamp",227,"Sugar maple","10.9",""
"133","25-Oct-17","Peavine Swamp",212,"Sugar maple","41","DEAD"
"134","18-Oct-17","Peavine Swamp",191,"Yellow birch","44.3","DEAD"
"135","4-Oct-17","South Hammond",87,"Black cherry","15.5",""
"136","11-Oct-17","South Hammond",117,"Catscratch","10.5",""
"137","4-Oct-17","South Hammond",134,"Catscratch","14.3",""
"138","4-Oct-17","South Hammond",135,"Catscratch","12.3",""
"139","11-Oct-17","South Hammond",133,"Choke cherry","21.4",""
"140","4-Oct-17","South Hammond",137,"Choke cherry","8",""
"141","4-Oct-17","South Hammond",141,"Choke cherry","10.1",""
"142","4-Oct-17","South Hammond",154,"Choke cherry","16",""
"143","4-Oct-17","South Hammond",156,"Choke cherry","15.5","DEAD"
"144","4-Oct-17","South Hammond",99,"Quaking aspen","34.2",""
"145","4-Oct-17","South Hammond",96,"Red maple","10",""
"146","4-Oct-17","South Hammond",98,"Red maple","13.3",""
"147","4-Oct-17","South Hammond",100,"Red maple","31.9",""
"148","4-Oct-17","South Hammond",106,"Red maple","43.5",""
"149","4-Oct-17","South Hammond",86,"Red oak","<10",""
"150","4-Oct-17","South Hammond",89,"Red oak","30.5",""
"151","4-Oct-17","South Hammond",102,"Red oak","27.1",""
"152","4-Oct-17","South Hammond",103,"Red oak","11.5",""
"153","4-Oct-17","South Hammond",104,"Red oak","10.9",""
"154","4-Oct-17","South Hammond",105,"Red oak","20",""
"155","4-Oct-17","South Hammond",107,"Red oak","20",""
"156","4-Oct-17","South Hammond",108,"Red oak","13.4",""
"157","4-Oct-17","South Hammond",109,"Red oak","13.8",""
"158","4-Oct-17","South Hammond",111,"Red oak","17.5",""
"159","4-Oct-17","South Hammond",112,"Red oak","10.8",""
"160","4-Oct-17","South Hammond",113,"Red oak","11.5",""
"161","4-Oct-17","South Hammond",114,"Red oak","15.2",""
"162","11-Oct-17","South Hammond",118,"Red oak","36.5",""
"163","11-Oct-17","South Hammond",119,"Red oak","19.8",""
"164","11-Oct-17","South Hammond",121,"Red oak","16.2",""
"165","11-Oct-17","South Hammond",124,"Red oak","16.3",""
"166","11-Oct-17","South Hammond",125,"Red oak","12.5",""
"167","11-Oct-17","South Hammond",126,"Red oak","11",""
"168","11-Oct-17","South Hammond",128,"Red oak","33.7",""
"169","11-Oct-17","South Hammond",129,"Red oak","37.1",""
"170","11-Oct-17","South Hammond",132,"Red oak","38.6",""
"171","4-Oct-17","South Hammond",147,"Red oak","25.4",""
"172","4-Oct-17","South Hammond",150,"Red oak","10",""
"173","4-Oct-17","South Hammond",153,"Red oak","27.3",""
"174","11-Oct-17","South Hammond",123,"Red pine","20.2",""
"175","11-Oct-17","South Hammond",127,"Red pine","10.5",""
"176","4-Oct-17","South Hammond",85,"Shagbark hickory","<10",""
"177","4-Oct-17","South Hammond",88,"Shagbark hickory","<10",""
"178","4-Oct-17","South Hammond",145,"Shagbark hickory","12.5",""
"179","4-Oct-17","South Hammond",101,"White ash","13.3",""
"180","11-Oct-17","South Hammond",122,"White ash","23.9",""
"181","4-Oct-17","South Hammond",157,"White ash","15.7","DEAD"
"182","4-Oct-17","South Hammond",81,"White oak","22",""
"183","4-Oct-17","South Hammond",83,"White oak","11",""
"184","4-Oct-17","South Hammond",92,"White oak","11",""
