Date,Forest,PlotNum,PlotID,Quadrant,Tree,Species,DBHcm,Xcoord,Ycoord,DistanceM,HtPercent,TreeHeightM,Comments
27-Sep,Donnerville,2,2,Q2,42,White ash,12.2,,,10,85,8.5,
27-Sep-17,Donnerville,3,3,Q1,62,Yellow birch,29.5,1,6.5,10,140,14,
27-Sep-17,Donnerville,3,3,Q1,66,Yellow birch,23.5,9,9,10,100,10,DEAD
27-Sep-17,Donnerville,3,3,Q1,67,Yellow birch,22,7,10,10,95,9.5,
27-Sep-17,Donnerville,3,3,Q2,71,Yellow birch,32,3,6,10,143,14.3,
27-Sep-17,Donnerville,3,3,Q3,75,Yellow birch,22.2,,,,,,
27-Sep-17,Donnerville,3,3,Q4,80,Yellow birch,32,,,,,,
18-Oct-17,Peavine Swamp,1,7,Q1,162,American beech,12.1,4.1,6.5,10,112,11.2,
18-Oct-17,Peavine Swamp,1,7,Q1,163,American beech,11.4,3.2,6,10,90,9,
18-Oct-17,Peavine Swamp,1,7,Q2,167,American beech,10.1,6.8,5.8,10,55,5.5,
18-Oct-17,Peavine Swamp,1,7,Q3,170,American beech,10.6,,,,,,
18-Oct-17,Peavine Swamp,1,7,Q3,172,American beech,17.3,,,,,,
18-Oct-17,Peavine Swamp,1,7,Q3,173,American beech,19.2,,,,,,
18-Oct-17,Peavine Swamp,1,7,Q4,174,American beech,16.8,,,,,,
18-Oct-17,Peavine Swamp,1,7,Q4,176,American beech,14.8,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q1,184,American beech,11,8,7,10,115,11.5,
18-Oct-17,Peavine Swamp,2,8,Q2,187,American beech,12.1,5,2,10,95,9.5,
25-Oct-17,Peavine Swamp,3,9,Q1,206,American beech,19.7,7,9,10,100,10,
25-Oct-17,Peavine Swamp,3,9,Q1,208,American beech,18.3,7,5,10,130,13,
25-Oct-17,Peavine Swamp,3,9,Q2,214,American beech,16,8,3,10,1.5,11.5,
25-Oct-17,Peavine Swamp,3,9,Q4,217,American beech,10.2,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q4,219,American beech,11.8,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q3,221,American beech,11.7,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q2,186,Gray birch,27.6,2,3,10,190,19,
18-Oct-17,Peavine Swamp,2,8,Q2,188,Gray birch,24.8,4,7,10,160,16,
18-Oct-17,Peavine Swamp,1,7,Q3,177,not recorded,50.9,,,,,,DEAD
18-Oct-17,Peavine Swamp,1,7,Q3,178,not recorded,59.5,,,,,,DEAD; measured DBH at 1m off ground
18-Oct-17,Peavine Swamp,1,7,Q4,179,not recorded,40.8,,,,,,DEAD 
18-Oct-17,Peavine Swamp,1,7,Q4,180,not recorded,39.5,,,,,,DEAD
18-Oct-17,Peavine Swamp,1,7,Q4,181,not recorded,10,,,,,,DEAD
18-Oct-17,Peavine Swamp,1,7,Q3,171,Red elm,13,,,,,,Check species - American elm?
18-Oct-17,Peavine Swamp,1,7,Q1,158,Red maple,36.6,8.2,0.5,10,140,14,
18-Oct-17,Peavine Swamp,1,7,Q1,159,Red maple,12.4,6.1,2.6,10,90,9,
18-Oct-17,Peavine Swamp,1,7,Q1,160,Red maple,38.4,5.2,5.5,10,135,13.5,
18-Oct-17,Peavine Swamp,1,7,Q1,161,Red maple,25.9,1.1,6.2,10,110,11,
18-Oct-17,Peavine Swamp,1,7,Q1,164,Red maple,32.7,9.9,5.6,10,138,13.8,
18-Oct-17,Peavine Swamp,1,7,Q2,165,Red maple,13.3,6,5.6,10,72,7.2,
18-Oct-17,Peavine Swamp,1,7,Q2,166,Red maple,29,7,6,10,145,14.5,
18-Oct-17,Peavine Swamp,1,7,Q2,168,Red maple,17.9,8.3,2.2,10,91,9.1,
18-Oct-17,Peavine Swamp,2,8,Q4,198,Red maple,31.4,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q4,201,Red maple,30.3,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q4,202,Red maple,26.6,,,,,,DEAD
25-Oct-17,Peavine Swamp,3,9,Q4,215,Red maple,15.1,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q4,218,Red maple,32,,,,,,DEAD
25-Oct-17,Peavine Swamp,3,9,Q4,220,Red maple,15.4,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q3,222,Red maple,11.3,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q3,223,Red maple,13.4,,,,,,
25-Oct-17,Peavine Swamp,3,9,Q3,226,Red maple,25.9,,,,,,
18-Oct-17,Peavine Swamp,1,7,Q3,169,Sugar maple,20.5,,,,,,
18-Oct-17,Peavine Swamp,1,7,Q4,175,Sugar maple,18,,,,,,
18-Oct-17,Peavine Swamp,2,8,Q1,182,Sugar maple,41.3,4,3,10,200,20,
18-Oct-17,Peavine Swamp,2,8,Q1,183,Sugar maple,28.4,5,3,10,190,19,
18-Oct-17,Peavine Swamp,2,8,Q2,185,Sugar maple,39.1,1,3,10,230,23,
18-Oct-17,Peavine Swamp,2,8,Q2,189,Sugar maple,12,3,6,10,90,9,
